station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-027,Gyeonggi-do,2000,630,37.110765,127.0813137,YELLOW,2021-12-28 09:04:13,96533521.76011252,0.7921348314606742,0.7134831460674157,79.2556179775281,11,0.588726970117594,52.99255789630368,27
STN-028,Gyeonggi-do,2000,1380,37.1271734,126.9010736,GREEN,2021-12-28 09:01:24,96533521.76011252,0.4073033707865169,0.7134831460674157,59.63483146067416,89,0.7701307554675109,52.902615109350215,28
STN-029,Gyeonggi-do,2000,1390,37.1129492,126.883559,GREEN,2021-12-28 13:41:46,96533521.76011252,0.398876404494382,0.7134831460674157,59.42415730337079,90,0.7701307554675109,52.902615109350215,29
STN-030,Gyeonggi-do,2000,1480,37.179821,126.7089082,GREEN,2021-12-28 14:35:33,96533521.76011252,0.348314606741573,0.7134831460674157,58.16011235955057,98,0.7701307554675109,52.902615109350215,30
STN-031,Gyeonggi-do,2000,1597,37.21129,126.7575271,GREEN,2021-12-28 13:04:01,96533521.76011252,0.2865168539325843,0.7134831460674157,56.61516853932585,104,0.7701307554675109,52.902615109350215,31
STN-032,Gyeonggi-do,2000,2000,37.1663285,126.8494857,GREEN,2021-12-28 09:01:51,96533521.76011252,0.2134831460674157,0.7134831460674157,54.78932584269664,112,0.7701307554675109,52.902615109350215,32
STN-033,Gyeonggi-do,2000,2020,37.2028524,126.7922568,GREEN,2021-12-28 09:30:53,96533521.76011252,0.1966292134831461,0.7134831460674157,54.367977528089895,114,0.7701307554675109,52.902615109350215,33
STN-034,Gyeonggi-do,2000,2241,37.0365496,126.8060163,GREEN,2021-12-28 10:45:28,96533521.76011252,0.1460674157303371,0.7134831460674157,53.10393258426967,118,0.7701307554675109,52.902615109350215,34
STN-035,Incheon,3000,632,37.3992324,126.7112527,YELLOW,2021-12-28 05:40:07,20757939.40511667,0.7865168539325843,1.0,69.66292134831461,65,0.5778822317269574,52.447161016326845,35
STN-036,Gyeonggi-do,1500,150,37.9497716,127.2384759,RED,2021-12-28 14:54:42,96533521.76011252,0.9269662921348316,0.2808988764044944,76.13764044943821,24,0.436887371514083,52.11056326701752,36
STN-037,Gyeonggi-do,2000,1400,37.2312751,127.0208862,GREEN,2021-12-28 09:57:46,96533521.76011252,0.3876404494382022,0.7134831460674157,59.1432584269663,93,0.8934947162632352,51.42634375160369,37
STN-038,Gyeonggi-do,1800,1470,37.0576322,126.7967145,GREEN,2021-12-28 11:24:23,96533521.76011252,0.3595505617977528,0.4578651685393258,54.60674157303372,113,0.7701307554675109,51.402615109350215,38
STN-039,Gyeonggi-do,1800,1526,37.0650311,126.7966501,GREEN,2021-12-28 14:19:47,96533521.76011252,0.3146067415730337,0.4578651685393258,53.48314606741574,116,0.7701307554675109,51.402615109350215,39
STN-040,Gyeonggi-do,1800,1700,37.2102237,126.7623835,GREEN,2021-12-28 12:28:03,96533521.76011252,0.2668539325842697,0.4578651685393258,52.28932584269664,125,0.7701307554675109,51.402615109350215,40
STN-041,Gyeonggi-do,1300,900,37.1951627,126.665842,YELLOW,2021-12-28 09:16:52,96533521.76011252,0.6657303370786517,0.0926966292134831,66.78370786516854,70,0.7701307554675109,51.15261510935022,41
STN-042,Gyeonggi-do,1300,0,37.0230407,127.2581728,GRAY,2021-12-28 14:32:19,96533521.76011252,0.9803370786516854,0.0926966292134831,74.64887640449439,39,0.1901990125191858,50.56393087634301,42
STN-043,Gyeonggi-do,2000,700,36.9431052,127.0510788,YELLOW,2021-12-28 12:15:31,96533521.76011252,0.7612359550561798,0.7134831460674157,78.48314606741575,13,0.588726970117594,50.54255789630368,43
STN-044,Gyeonggi-do,1500,600,36.9591926,126.856134,YELLOW,2021-12-28 09:28:34,96533521.76011252,0.8033707865168539,0.2808988764044944,73.04775280898878,49,0.588726970117594,50.29255789630368,44
STN-045,Gyeonggi-do,2000,840,37.5888825,127.2060224,YELLOW,2021-12-28 11:53:48,96533521.76011252,0.7078651685393258,0.7134831460674157,77.14887640449439,21,0.793851461874131,50.2482327158966,45
STN-046,Gyeonggi-do,1400,452,37.2885999,127.333042,YELLOW,2021-12-28 14:23:40,96533521.76011252,0.8370786516853932,0.146067415730337,71.8679775280899,56,0.5614627176163034,50.20332970351087,46
